choice1,choice2,choice3,choice4
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
ciro,haddad,alckmin,bolsonaro
